Skin Type,Skin Condition,Concern,Product Name,Product URL,Product Image URL
Oily,Eczema,Redness,Forest Essentials Soundarya Radiance Cream,https://example.com/products/forest-essentials-soundarya-radiance-cream,https://example.com/images/forest-essentials-soundarya-radiance-cream.jpg
Dry,Psoriasis,Wrinkles,Kaya Clinic Brightening Night Cream,https://example.com/products/kaya-clinic-brightening-night-cream,https://example.com/images/kaya-clinic-brightening-night-cream.jpg
Normal,Healthy,Wrinkles,Mamaearth Tea Tree Face Wash,https://example.com/products/mamaearth-tea-tree-face-wash,https://example.com/images/mamaearth-tea-tree-face-wash.jpg
Oily,Healthy,Dark Spots,Lacto Calamine Oil Balance Lotion,https://example.com/products/lacto-calamine-oil-balance-lotion,https://example.com/images/lacto-calamine-oil-balance-lotion.jpg
Dry,Rosacea,Sensitivity,Kaya Clinic Brightening Night Cream,https://example.com/products/kaya-clinic-brightening-night-cream,https://example.com/images/kaya-clinic-brightening-night-cream.jpg
Normal,Healthy,Oiliness,Cetaphil Gentle Skin Cleanser,https://example.com/products/cetaphil-gentle-skin-cleanser,https://example.com/images/cetaphil-gentle-skin-cleanser.jpg
Normal,Psoriasis,Dark Spots,Forest Essentials Soundarya Radiance Cream,https://example.com/products/forest-essentials-soundarya-radiance-cream,https://example.com/images/forest-essentials-soundarya-radiance-cream.jpg
Normal,Rosacea,Redness,Mamaearth Ubtan Face Mask,https://example.com/products/mamaearth-ubtan-face-mask,https://example.com/images/mamaearth-ubtan-face-mask.jpg
Combination,Acne,Oiliness,Cetaphil Gentle Skin Cleanser,https://example.com/products/cetaphil-gentle-skin-cleanser,https://example.com/images/cetaphil-gentle-skin-cleanser.jpg
Oily,Psoriasis,Redness,Neutrogena Hydro Boost Water Gel,https://example.com/products/neutrogena-hydro-boost-water-gel,https://example.com/images/neutrogena-hydro-boost-water-gel.jpg
Combination,Rosacea,Dryness,Aroma Magic Aloe Vera Sunscreen,https://example.com/products/aroma-magic-aloe-vera-sunscreen,https://example.com/images/aroma-magic-aloe-vera-sunscreen.jpg
Combination,Psoriasis,Dryness,Plum Green Tea Mattifying Moisturizer,https://example.com/products/plum-green-tea-mattifying-moisturizer,https://example.com/images/plum-green-tea-mattifying-moisturizer.jpg
Dry,Healthy,Oiliness,VLCC Almond Honey Deep Nourishing Skin Cream,https://example.com/products/vlcc-almond-honey-deep-nourishing-skin-cream,https://example.com/images/vlcc-almond-honey-deep-nourishing-skin-cream.jpg
Dry,Eczema,Dryness,VLCC Almond Honey Deep Nourishing Skin Cream,https://example.com/products/vlcc-almond-honey-deep-nourishing-skin-cream,https://example.com/images/vlcc-almond-honey-deep-nourishing-skin-cream.jpg
Dry,Healthy,Dryness,VLCC Almond Honey Deep Nourishing Skin Cream,https://example.com/products/vlcc-almond-honey-deep-nourishing-skin-cream,https://example.com/images/vlcc-almond-honey-deep-nourishing-skin-cream.jpg
Oily,Eczema,Acne,Kaya Clinic Brightening Night Cream,https://example.com/products/kaya-clinic-brightening-night-cream,https://example.com/images/kaya-clinic-brightening-night-cream.jpg
